date,merchant,amount,category,card_last4,status,reference
2026-06-03,NETFLIX.COM,-15.49,Entertainment,8842,posted,TXN-003
2026-06-03,SPOTIFY USA,-9.99,Entertainment,8842,posted,TXN-004
2026-06-05,AMZN MKTP US*2K7X4,-34.56,Shopping,8842,posted,TXN-005
2026-06-07,UBER *EATS,-18.75,Food & Drink,8842,posted,TXN-007
2026-06-08,GOOGLE *CLOUD,-54.99,Software,8842,posted,TXN-008
2026-06-10,DG MEMBERSHIP SVCS,-12.99,Subscription,8842,posted,TXN-010
2026-06-16,ADOBE CREATIVE CLD,-54.99,Software,8842,posted,TXN-015
2026-06-18,WALMART.COM,-67.23,Shopping,8842,posted,TXN-016
2026-06-20,SQ *COFFEE HOUSE,-5.40,Food & Drink,8842,posted,TXN-017
2026-06-22,APPL*ICLOUD STORAGE,-2.99,Cloud Storage,8842,posted,TXN-018
2026-07-03,NETFLIX.COM,-15.49,Entertainment,8842,posted,TXN-022
2026-07-03,SPOTIFY USA,-9.99,Entertainment,8842,posted,TXN-023
2026-07-04,AMZN MKTP US*9F3M1,-89.99,Shopping,8842,posted,TXN-024
2026-07-08,CHATGPT SUBSCRIPTION,-20.00,Software,8842,posted,TXN-027
2026-07-10,TARGET.COM,-45.67,Shopping,8842,posted,TXN-028
2026-07-12,DG MEMBERSHIP SVCS,-12.99,Subscription,8842,posted,TXN-029
2026-07-15,ADOBE CREATIVE CLD,-59.99,Software,8842,posted,TXN-031
2026-07-18,APPL*ICLOUD STORAGE,-2.99,Cloud Storage,8842,posted,TXN-033
2026-07-20,UBER *TRIP,-22.50,Transportation,8842,posted,TXN-034
2026-07-28,WALMART.COM,-52.10,Shopping,8842,posted,TXN-037
2026-08-03,NETFLIX.COM,-15.49,Entertainment,8842,posted,TXN-040
2026-08-03,SPOTIFY USA,-9.99,Entertainment,8842,posted,TXN-041
2026-08-04,AMZN MKTP US*4R8P2,-123.45,Shopping,8842,posted,TXN-042
2026-08-05,BLS*BLINKIST,-14.99,Subscription,8842,posted,TXN-044
2026-08-06,CANVA PRO YEARLY,-119.99,Software,8842,posted,TXN-045
2026-08-08,DG MEMBERSHIP SVCS,-14.99,Subscription,8842,posted,TXN-046
2026-08-10,ADOBE CREATIVE CLD,-59.99,Software,8842,posted,TXN-049
2026-08-15,APPL*ICLOUD STORAGE,-2.99,Cloud Storage,8842,posted,TXN-052
2026-08-16,CHATGPT SUBSCRIPTION,-20.00,Software,8842,posted,TXN-053
