date,reference,description,type,amount,balance,merchant_code,card_last4
2026-06-01,TXN-001,"PAYIN - Wire Transfer from VN Bank",payin,5000.00,5000.00,,
2026-06-02,TXN-002,"Transfer to Virtual Card ****8842",transfer,-500.00,4500.00,,8842
2026-06-03,TXN-003,"NETFLIX.COM",charge,-15.49,4484.51,NETFLIX_COM,8842
2026-06-03,TXN-004,"SPOTIFY USA",charge,-9.99,4474.52,SPOTIFY_USA,8842
2026-06-05,TXN-005,"AMZN MKTP US*2K7X4",charge,-34.56,4439.96,AMZN_MKTP,8842
2026-06-05,TXN-006,"Monthly Account Fee",fee,-4.99,4434.97,,
2026-06-07,TXN-007,"UBER *EATS",charge,-18.75,4416.22,UBER_EATS,8842
2026-06-08,TXN-008,"GOOGLE *CLOUD",charge,-54.99,4361.23,GOOGLE_CLOUD,8842
2026-06-08,TXN-009,"GOOGLE *CLOUD",charge,-54.99,4306.24,GOOGLE_CLOUD,8842
2026-06-10,TXN-010,"DG MEMBERSHIP SVCS",charge,-12.99,4293.25,UNKNOWN_DG,8842
2026-06-12,TXN-011,"Foreign Transaction Fee",fee,-1.62,4291.63,,
2026-06-12,TXN-012,"Foreign Transaction Fee",fee,-1.62,4290.01,,
2026-06-14,TXN-013,"PAYIN - Payout from TikTok Shop",payin,2300.00,6590.01,,
2026-06-15,TXN-014,"Transfer to Virtual Card ****8842",transfer,-800.00,5790.01,,8842
2026-06-16,TXN-015,"ADOBE CREATIVE CLD",charge,-54.99,5735.02,ADOBE_CLD,8842
2026-06-18,TXN-016,"WALMART.COM",charge,-67.23,5667.79,WALMART,8842
2026-06-20,TXN-017,"SQ *COFFEE HOUSE",charge,-5.40,5662.39,SQ_COFFEE,8842
2026-06-22,TXN-018,"APPL*ICLOUD STORAGE",charge,-2.99,5659.40,APPLE_ICLOUD,8842
2026-06-25,TXN-019,"Transfer to Virtual Card ****8842",transfer,-300.00,5359.40,,8842
2026-06-28,TXN-020,"Platform Service Fee",fee,-9.99,5349.41,,
2026-07-01,TXN-021,"PAYIN - Wire Transfer from VN Bank",payin,3000.00,8349.41,,
2026-07-03,TXN-022,"NETFLIX.COM",charge,-15.49,8333.92,NETFLIX_COM,8842
2026-07-03,TXN-023,"SPOTIFY USA",charge,-9.99,8323.93,SPOTIFY_USA,8842
2026-07-04,TXN-024,"AMZN MKTP US*9F3M1",charge,-89.99,8233.94,AMZN_MKTP,8842
2026-07-05,TXN-025,"Monthly Account Fee",fee,-4.99,8228.95,,
2026-07-06,TXN-026,"Transfer to Virtual Card ****8842",transfer,-600.00,7628.95,,8842
2026-07-08,TXN-027,"CHATGPT SUBSCRIPTION",charge,-20.00,7608.95,CHATGPT,8842
2026-07-10,TXN-028,"TARGET.COM",charge,-45.67,7563.28,TARGET,8842
2026-07-12,TXN-029,"DG MEMBERSHIP SVCS",charge,-12.99,7550.29,UNKNOWN_DG,8842
2026-07-14,TXN-030,"PAYIN - Payout from Etsy",payin,1800.00,9350.29,,
2026-07-15,TXN-031,"ADOBE CREATIVE CLD",charge,-59.99,9290.30,ADOBE_CLD,8842
2026-07-16,TXN-032,"Foreign Transaction Fee",fee,-2.70,9287.60,,
2026-07-18,TXN-033,"APPL*ICLOUD STORAGE",charge,-2.99,9284.61,APPLE_ICLOUD,8842
2026-07-20,TXN-034,"UBER *TRIP",charge,-22.50,9262.11,UBER_TRIP,8842
2026-07-22,TXN-035,"Transfer to Virtual Card ****8842",transfer,-400.00,8862.11,,8842
2026-07-25,TXN-036,"Platform Service Fee",fee,-9.99,8852.12,,
2026-07-28,TXN-037,"WALMART.COM",charge,-52.10,8800.02,WALMART,8842
2026-08-01,TXN-038,"PAYIN - Wire Transfer from VN Bank",payin,4000.00,12800.02,,
2026-08-02,TXN-039,"Transfer to Virtual Card ****8842",transfer,-1000.00,11800.02,,8842
2026-08-03,TXN-040,"NETFLIX.COM",charge,-15.49,11784.53,NETFLIX_COM,8842
2026-08-03,TXN-041,"SPOTIFY USA",charge,-9.99,11774.54,SPOTIFY_USA,8842
2026-08-04,TXN-042,"AMZN MKTP US*4R8P2",charge,-123.45,11651.09,AMZN_MKTP,8842
2026-08-05,TXN-043,"Monthly Account Fee",fee,-4.99,11646.10,,
2026-08-05,TXN-044,"BLS*BLINKIST",charge,-14.99,11631.11,BLINKIST,8842
2026-08-06,TXN-045,"CANVA PRO YEARLY",charge,-119.99,11511.12,CANVA_PRO,8842
2026-08-08,TXN-046,"DG MEMBERSHIP SVCS",charge,-14.99,11496.13,UNKNOWN_DG,8842
2026-08-08,TXN-047,"Foreign Transaction Fee",fee,-3.72,11492.41,,
2026-08-08,TXN-048,"Foreign Transaction Fee",fee,-3.72,11488.69,,
2026-08-10,TXN-049,"ADOBE CREATIVE CLD",charge,-59.99,11428.70,ADOBE_CLD,8842
2026-08-12,TXN-050,"Transfer to Virtual Card ****8842",transfer,-500.00,10928.70,,8842
2026-08-14,TXN-051,"PAYIN - Payout from TikTok Shop",payin,2500.00,13428.70,,
2026-08-15,TXN-052,"APPL*ICLOUD STORAGE",charge,-2.99,13425.71,APPLE_ICLOUD,8842
2026-08-16,TXN-053,"CHATGPT SUBSCRIPTION",charge,-20.00,13405.71,CHATGPT,8842
2026-08-18,TXN-054,"Platform Service Fee",fee,-9.99,13395.72,,
